                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0192,                 36.148,                 2.2382,                      0,                      0,                      0,                      0,                 3.0695,                 37.148,                 1.7179,             0.00054889,             0.00054889,             0.00054889
                      2,                 2.4211,                 3.0917,                 1.1704,                0.30392,                0.41809,                0.30123,                0.12842,                 1.9486,                 2.2319,                 1.0601,              0.0010936,              0.0010936,              0.0010936
                      3,                 1.9636,                 2.2492,                 1.0376,                 0.4652,                0.58599,                0.46486,                0.21005,                 1.6809,                 1.7777,                0.97362,              0.0016274,              0.0016274,              0.0016274
                      4,                 1.7695,                 1.9679,                0.97829,                0.57554,                0.65424,                 0.6426,                 0.3328,                  1.461,                 1.4766,                0.92152,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7431,                 1.7893,                 0.9572,                0.49864,                 0.6616,                0.65947,                0.34996,                 1.4024,                 1.6688,                 0.9172,               0.001601,               0.001601,               0.001601
                      6,                 1.6224,                  1.546,                0.93322,                0.77608,                0.73297,                0.81834,                 0.4565,                 1.3648,                0.96074,                0.90211,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5146,                 1.3017,                0.91372,                0.84132,                0.77717,                0.85346,                0.46426,                 1.3444,                0.90548,                0.90117,               0.001568,               0.001568,               0.001568
                      8,                 1.5171,                 1.1614,                0.91354,                0.89294,                0.80192,                0.89263,                0.50369,                 1.3479,                 0.7914,                0.89614,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4144,                 1.0448,                 0.8949,                0.90548,                0.80437,                0.89726,                0.53822,                 1.2345,                0.75526,                0.87443,               0.001535,               0.001535,               0.001535
                     10,                 1.4198,                 1.0056,                0.90049,                0.90407,                0.80745,                0.89511,                0.54346,                 1.2176,                0.76426,                 0.8827,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.339,                0.93456,                0.89054,                0.90383,                0.78288,                0.89759,                0.57339,                 1.1676,                0.72971,                0.87508,               0.001502,               0.001502,               0.001502
                     12,                 1.3421,                0.91442,                0.89277,                 0.9058,                0.84605,                0.90995,                0.58954,                 1.1185,                0.70952,                0.86575,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3788,                0.89657,                0.89758,                0.87884,                 0.8017,                0.88233,                0.57362,                 1.1073,                0.72853,                0.86794,               0.001469,               0.001469,               0.001469
                     14,                 1.3266,                0.86711,                 0.8856,                0.92587,                 0.8371,                0.91993,                 0.5677,                 1.1734,                0.67168,                0.85852,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2896,                0.84364,                0.87844,                 0.9179,                0.82543,                0.91695,                0.58157,                 1.1689,                0.78993,                0.86801,               0.001436,               0.001436,               0.001436
                     16,                 1.2699,                0.81071,                0.87399,                 0.9361,                0.91372,                0.95003,                0.60539,                 1.1457,                0.62209,                0.86198,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2593,                0.78368,                0.87115,                0.93866,                0.84545,                0.92655,                0.59831,                 1.0758,                0.66144,                0.85361,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2243,                0.77701,                0.86694,                0.94749,                0.83655,                0.93121,                0.61256,                 1.0309,                0.64575,                0.84771,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1985,                0.73433,                0.86218,                0.90418,                0.86614,                0.93353,                0.60925,                 1.0726,                 0.6109,                0.85068,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.178,                0.73114,                0.85741,                 0.9234,                0.89486,                 0.9378,                0.61966,                 1.0533,                0.61181,                0.84264,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1837,                0.72638,                0.85519,                0.93638,                0.87124,                0.93946,                0.61363,                   1.03,                 0.6125,                0.84632,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1538,                0.69682,                0.85317,                0.95622,                0.86196,                0.94788,                0.61261,                 1.0655,                0.59334,                0.84423,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1736,                0.68995,                0.86284,                0.94152,                0.88012,                0.94888,                0.57395,                 1.1893,                0.61108,                0.85931,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.166,                0.67189,                0.85549,                0.89257,                0.81091,                0.89764,                0.59121,                 1.0584,                0.74251,                0.84657,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1408,                0.67192,                0.85495,                0.94102,                0.84183,                 0.9274,                0.54825,                 1.2865,                0.66094,                0.87093,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1494,                0.65529,                0.85567,                0.93199,                0.91189,                0.94856,                0.65036,                0.99745,                0.55691,                0.83571,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1335,                0.65349,                0.84799,                0.92102,                0.88809,                0.94215,                0.59629,                 1.0364,                0.59009,                0.84386,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1204,                0.64822,                0.85376,                0.94968,                0.86211,                0.93905,                0.66241,                0.96354,                 0.5687,                0.83742,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0825,                0.63509,                0.84196,                0.93335,                0.91055,                  0.956,                0.66598,                0.97969,                0.53378,                 0.8389,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0603,                0.61302,                0.83955,                0.95325,                0.90623,                0.95566,                0.68281,                0.93999,                0.52197,                0.82865,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0571,                0.60059,                0.84536,                0.91436,                0.91546,                 0.9554,                0.64933,                0.98364,                0.55005,                0.83784,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0815,                0.63498,                0.84415,                0.93688,                0.89634,                0.95031,                0.68412,                0.89623,                0.54873,                0.82662,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0473,                0.59279,                0.84403,                0.95409,                0.92031,                0.96635,                0.69672,                0.88391,                0.49378,                0.82812,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0412,                0.59785,                0.83661,                0.93048,                 0.9299,                 0.9583,                0.67061,                0.95311,                0.51164,                0.82877,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0349,                0.60277,                0.83173,                0.93498,                0.90562,                0.95856,                0.70032,                 0.8498,                0.49113,                0.82066,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0365,                0.58485,                0.83887,                0.95692,                0.92024,                0.95767,                0.67475,                0.95619,                  0.507,                0.83151,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0002,                0.56606,                0.83719,                0.92287,                0.92309,                0.95409,                0.68336,                0.91408,                0.50006,                0.82934,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0165,                0.58555,                0.82796,                0.95638,                0.91185,                0.96425,                0.69507,                0.88552,                0.49298,                0.82652,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0267,                 0.5783,                0.83465,                0.94334,                0.91431,                 0.9601,                0.65501,                0.97721,                0.48765,                0.83113,              0.0010399,              0.0010399,              0.0010399
                     40,                0.99383,                0.55966,                0.82987,                 0.9648,                0.91353,                0.96853,                0.69941,                0.85963,                0.46505,                0.82305,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0043,                0.55659,                0.83105,                0.95882,                0.91521,                0.96345,                0.70194,                0.91517,                0.49359,                0.82627,              0.0010069,              0.0010069,              0.0010069
                     42,                0.99648,                0.55779,                0.82545,                0.94974,                0.92949,                0.96949,                0.71596,                0.85452,                0.47675,                0.81752,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.9816,                0.54525,                0.83283,                0.96291,                0.92199,                0.97224,                0.71474,                0.85218,                0.44757,                0.81814,             0.00097386,             0.00097386,             0.00097386
                     44,                0.95669,                 0.5329,                0.83374,                0.94995,                0.93496,                0.96372,                0.71555,                0.84692,                0.47033,                0.81712,             0.00095736,             0.00095736,             0.00095736
                     45,                0.98712,                0.54275,                0.83045,                0.94416,                0.93424,                0.96082,                0.69258,                0.86065,                0.47624,                0.81837,             0.00094085,             0.00094085,             0.00094085
                     46,                0.96732,                0.54009,                0.82806,                0.95988,                0.93382,                0.97339,                0.70665,                0.88278,                0.46251,                0.82128,             0.00092435,             0.00092435,             0.00092435
                     47,                 0.9419,                0.52491,                0.82589,                0.97089,                0.92307,                0.97501,                0.72064,                0.80827,                0.44022,                0.81543,             0.00090785,             0.00090785,             0.00090785
                     48,                0.93714,                0.51154,                0.82801,                0.95267,                0.92755,                0.97264,                0.69899,                0.90062,                0.46213,                0.82358,             0.00089134,             0.00089134,             0.00089134
                     49,                0.94458,                0.51298,                0.81915,                0.95123,                0.94576,                0.97352,                0.71443,                0.87461,                0.44275,                0.82164,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94578,                0.51349,                0.82607,                0.96564,                0.93081,                 0.9712,                0.72852,                0.82316,                0.43417,                0.81619,             0.00085834,             0.00085834,             0.00085834
                     51,                0.91385,                0.51071,                0.82991,                0.95961,                0.94204,                0.96882,                0.72561,                0.78839,                0.45402,                0.81295,             0.00084184,             0.00084184,             0.00084184
                     52,                0.96817,                0.53259,                0.82486,                0.95889,                0.89575,                0.96546,                0.69253,                0.89355,                 0.4792,                0.82489,             0.00082533,             0.00082533,             0.00082533
                     53,                0.95676,                0.51926,                0.82276,                0.97311,                 0.9259,                 0.9731,                0.72529,                0.79758,                0.43203,                0.81243,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90511,                0.49456,                0.82145,                 0.9485,                0.93894,                0.97439,                0.74462,                 0.7858,                0.42676,                0.81017,             0.00079233,             0.00079233,             0.00079233
                     55,                0.92202,                0.51118,                0.81903,                0.96469,                0.92736,                0.97294,                0.73321,                0.77109,                0.41894,                0.81216,             0.00077582,             0.00077582,             0.00077582
                     56,                0.88162,                0.49489,                0.81559,                0.96446,                 0.9375,                0.97711,                0.74232,                0.77157,                0.42067,                0.80994,             0.00075932,             0.00075932,             0.00075932
                     57,                0.92562,                0.50757,                0.81739,                0.96445,                0.91831,                0.96889,                0.69397,                0.87644,                0.43619,                   0.82,             0.00074282,             0.00074282,             0.00074282
                     58,                0.91835,                0.51216,                0.82434,                0.95196,                 0.9466,                0.97108,                0.73522,                0.76225,                0.42409,                0.80904,             0.00072631,             0.00072631,             0.00072631
                     59,                0.90357,                0.49489,                0.82318,                0.94886,                 0.9423,                0.97503,                0.75023,                0.76912,                0.41405,                0.81066,             0.00070981,             0.00070981,             0.00070981
                     60,                0.89609,                0.48134,                0.81799,                0.96151,                0.92867,                0.97625,                0.74385,                  0.764,                0.40625,                0.80832,             0.00069331,             0.00069331,             0.00069331
                     61,                0.87349,                0.46917,                0.81888,                0.95783,                0.92537,                0.97574,                0.73862,                0.78188,                0.41201,                0.81098,              0.0006768,              0.0006768,              0.0006768
                     62,                0.89406,                0.48223,                 0.8172,                0.96549,                0.93209,                0.97013,                0.72291,                0.80081,                0.41127,                0.81102,              0.0006603,              0.0006603,              0.0006603
                     63,                0.90095,                0.48241,                0.81283,                0.95211,                0.94332,                0.97552,                 0.7502,                0.77063,                0.39604,                0.80867,              0.0006438,              0.0006438,              0.0006438
                     64,                0.88922,                0.47221,                0.81604,                0.94998,                0.94182,                0.97317,                0.74937,                  0.738,                0.40254,                0.80634,             0.00062729,             0.00062729,             0.00062729
                     65,                0.86801,                0.46885,                0.81549,                0.96654,                0.93305,                0.97547,                0.74049,                0.79371,                0.39546,                0.81461,             0.00061079,             0.00061079,             0.00061079
                     66,                0.88707,                0.46951,                0.81657,                0.97589,                0.93038,                0.97872,                0.74215,                0.75669,                0.38712,                0.80949,             0.00059429,             0.00059429,             0.00059429
                     67,                0.87085,                0.46995,                0.81565,                0.95349,                0.95579,                0.97803,                0.75142,                0.72467,                0.38469,                0.80709,             0.00057778,             0.00057778,             0.00057778
                     68,                0.86375,                0.46045,                0.80994,                0.96809,                0.92935,                0.97627,                0.75364,                0.75148,                0.40643,                0.80688,             0.00056128,             0.00056128,             0.00056128
                     69,                0.84696,                 0.4553,                0.81392,                0.96791,                 0.9372,                0.97956,                0.74935,                0.76188,                0.38578,                0.80695,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.8627,                0.45519,                0.81351,                0.96363,                0.94236,                0.97924,                0.75018,                 0.7474,                0.39968,                0.80635,             0.00052827,             0.00052827,             0.00052827
                     71,                0.86011,                0.45765,                0.81345,                0.96385,                0.94314,                0.97722,                0.76204,                0.72595,                0.37965,                0.80711,             0.00051177,             0.00051177,             0.00051177
                     72,                0.83024,                0.44124,                0.81061,                0.96644,                0.92815,                0.97719,                0.74944,                 0.7411,                0.37931,                0.80736,             0.00049527,             0.00049527,             0.00049527
                     73,                0.82916,                0.44459,                0.80738,                0.95101,                 0.9454,                0.97687,                0.75953,                0.72574,                0.38141,                0.80231,             0.00047876,             0.00047876,             0.00047876
                     74,                0.83338,                0.44277,                0.81133,                0.97367,                0.94111,                0.97877,                0.76637,                0.72209,                 0.3701,                0.80309,             0.00046226,             0.00046226,             0.00046226
                     75,                0.82492,                0.43852,                0.81156,                0.98212,                0.93539,                0.98128,                0.75737,                0.73455,                0.37568,                0.80723,             0.00044576,             0.00044576,             0.00044576
                     76,                0.84095,                0.44471,                0.81016,                0.97542,                0.94198,                0.98166,                0.76197,                0.71732,                0.37257,                0.80214,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.8405,                0.45095,                0.81254,                0.96536,                0.94285,                 0.9798,                0.75086,                0.75151,                 0.3726,                0.80573,             0.00041275,             0.00041275,             0.00041275
                     78,                0.84111,                 0.4354,                0.80719,                0.97452,                0.94045,                 0.9804,                0.76035,                0.74355,                0.36682,                0.80604,             0.00039625,             0.00039625,             0.00039625
                     79,                0.82411,                0.43252,                0.81314,                0.97254,                0.94268,                0.97922,                0.77148,                0.70323,                  0.372,                0.80315,             0.00037974,             0.00037974,             0.00037974
                     80,                0.82087,                0.43308,                   0.81,                0.97384,                0.93865,                0.98101,                0.76152,                0.75358,                0.37767,                0.80591,             0.00036324,             0.00036324,             0.00036324
                     81,                0.81008,                0.43713,                 0.8162,                0.96575,                0.95204,                0.98055,                0.77542,                0.70457,                0.36292,                0.80146,             0.00034674,             0.00034674,             0.00034674
                     82,                0.79745,                0.42556,                0.80892,                0.97874,                0.94037,                0.98049,                0.76584,                0.71324,                0.36582,                0.80267,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79465,                0.42455,                0.80456,                0.97031,                0.93894,                0.97798,                0.77052,                0.68626,                  0.358,                0.80006,             0.00031373,             0.00031373,             0.00031373
                     84,                0.81168,                0.42291,                0.80546,                  0.966,                0.94924,                0.98211,                 0.7546,                0.75253,                0.36898,                 0.8043,             0.00029723,             0.00029723,             0.00029723
                     85,                0.82213,                0.43158,                0.80332,                0.97382,                0.94539,                0.98276,                0.76754,                0.73121,                0.36889,                0.80426,             0.00028072,             0.00028072,             0.00028072
                     86,                0.77754,                0.42027,                0.80782,                0.96697,                0.94434,                0.97929,                 0.7628,                0.70481,                0.36392,                0.80007,             0.00026422,             0.00026422,             0.00026422
                     87,                0.79387,                0.42614,                0.80448,                0.96691,                0.94201,                0.97911,                0.77444,                0.69884,                 0.3566,                0.80285,             0.00024772,             0.00024772,             0.00024772
                     88,                0.78738,                0.41478,                0.80251,                0.96477,                0.94509,                0.97979,                0.77141,                0.70079,                 0.3575,                0.80156,             0.00023121,             0.00023121,             0.00023121
                     89,                0.80304,                0.41552,                0.81247,                0.96545,                0.94771,                0.98128,                0.78206,                0.66923,                 0.3484,                0.79771,             0.00021471,             0.00021471,             0.00021471
                     90,                0.77684,                0.41163,                 0.8033,                 0.9718,                0.95049,                0.98357,                 0.7693,                0.70133,                0.34914,                0.80162,             0.00019821,             0.00019821,             0.00019821
                     91,                0.72694,                0.37929,                0.80723,                0.96227,                0.94914,                0.98196,                 0.7771,                0.69654,                0.35387,                0.79985,              0.0001817,              0.0001817,              0.0001817
                     92,                0.72196,                0.37414,                0.80179,                0.97293,                0.94095,                0.98338,                0.77446,                0.68385,                0.35546,                0.79879,              0.0001652,              0.0001652,              0.0001652
                     93,                0.72623,                   0.38,                0.80254,                0.96128,                0.94908,                0.98137,                0.78148,                0.68061,                0.34636,                 0.7991,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.6972,                 0.3664,                0.80348,                0.96873,                0.94866,                0.98353,                0.76829,                0.69254,                0.34774,                0.80016,             0.00013219,             0.00013219,             0.00013219
                     95,                0.68806,                0.36401,                0.79975,                0.96534,                 0.9455,                0.98273,                0.75495,                0.71929,                0.35171,                0.80232,             0.00011569,             0.00011569,             0.00011569
                     96,                0.69824,                0.36888,                0.79917,                0.97397,                0.94059,                0.98182,                0.77463,                0.68373,                0.35192,                0.79897,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.70557,                0.36217,                0.80126,                0.96899,                0.95337,                0.98295,                 0.7823,                 0.6716,                0.33971,                0.79814,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.68693,                0.35525,                0.80211,                0.96543,                0.94789,                0.98247,                0.78255,                0.66679,                0.34191,                0.79812,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.6976,                0.36982,                0.79903,                0.97073,                0.95207,                0.98272,                0.78522,                0.67098,                0.34345,                0.79818,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.70197,                0.36593,                 0.7956,                0.96895,                0.95239,                0.98325,                 0.7854,                0.66332,                0.33866,                0.79707,             3.3173e-05,             3.3173e-05,             3.3173e-05
